STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00094741,"TETERBORO AIRPORT, NJ US",3/17/2019,0,,,,46,31
USW00094741,"TETERBORO AIRPORT, NJ US",3/18/2019,0,,,,47,28
USW00094741,"TETERBORO AIRPORT, NJ US",3/19/2019,0,,,,50,29
USW00094741,"TETERBORO AIRPORT, NJ US",3/20/2019,0,,,,56,30
USW00094741,"TETERBORO AIRPORT, NJ US",3/21/2019,0.59,,,,48,42
USW00094741,"TETERBORO AIRPORT, NJ US",3/22/2019,0.79,,,,50,37
USW00094741,"TETERBORO AIRPORT, NJ US",3/23/2019,0,,,,49,34
USW00094741,"TETERBORO AIRPORT, NJ US",3/24/2019,0,,,,61,33
USW00094741,"TETERBORO AIRPORT, NJ US",3/25/2019,0,,,,55,40
USW00094741,"TETERBORO AIRPORT, NJ US",3/26/2019,0,,,,50,32
USW00094741,"TETERBORO AIRPORT, NJ US",3/27/2019,0,,,,48,32
USW00094741,"TETERBORO AIRPORT, NJ US",3/28/2019,0,,,,54,30
USW00094741,"TETERBORO AIRPORT, NJ US",3/29/2019,0,,,,58,46
USW00094741,"TETERBORO AIRPORT, NJ US",3/30/2019,0,,,,71,48
USW00094741,"TETERBORO AIRPORT, NJ US",3/31/2019,0.07,,,,63,38
USW00094741,"TETERBORO AIRPORT, NJ US",4/1/2019,0,,,,46,32
USW00094741,"TETERBORO AIRPORT, NJ US",4/2/2019,0,,,,54,29
USW00094741,"TETERBORO AIRPORT, NJ US",4/3/2019,0,,,,67,40
USW00094741,"TETERBORO AIRPORT, NJ US",4/4/2019,0,,,,59,40
USW00094741,"TETERBORO AIRPORT, NJ US",4/5/2019,0.24,,,,43,38
USW00094741,"TETERBORO AIRPORT, NJ US",4/6/2019,0.01,,,,67,38
USW00094741,"TETERBORO AIRPORT, NJ US",4/7/2019,0,,,,68,44
USW00094741,"TETERBORO AIRPORT, NJ US",4/8/2019,0.22,,,,80,50
USW00094741,"TETERBORO AIRPORT, NJ US",4/9/2019,0.03,,,,52,46
USW00094741,"TETERBORO AIRPORT, NJ US",4/10/2019,0,,,,60,43
USW00094741,"TETERBORO AIRPORT, NJ US",4/11/2019,0,,,,57,40
USW00094741,"TETERBORO AIRPORT, NJ US",4/12/2019,0.68,,,,71,45
USW00094741,"TETERBORO AIRPORT, NJ US",4/13/2019,0.23,,,,79,61
USW00094741,"TETERBORO AIRPORT, NJ US",4/14/2019,0.02,,,,73,57
USW00094741,"TETERBORO AIRPORT, NJ US",4/15/2019,0.67,,,,63,45
USW00094741,"TETERBORO AIRPORT, NJ US",4/16/2019,0,,,,66,43
USW00094741,"TETERBORO AIRPORT, NJ US",4/17/2019,0.02,,,,65,48
USW00094741,"TETERBORO AIRPORT, NJ US",4/18/2019,0,,,,67,52
USW00094741,"TETERBORO AIRPORT, NJ US",4/19/2019,0.07,,,,80,61
USW00094741,"TETERBORO AIRPORT, NJ US",4/20/2019,0.44,,,,67,56
USW00094741,"TETERBORO AIRPORT, NJ US",4/21/2019,0,,,,66,55
USW00094741,"TETERBORO AIRPORT, NJ US",4/22/2019,0.26,,,,65,52
USW00094741,"TETERBORO AIRPORT, NJ US",4/23/2019,0.03,,,,80,55
USW00094741,"TETERBORO AIRPORT, NJ US",4/24/2019,0,,,,70,54
USW00094741,"TETERBORO AIRPORT, NJ US",4/25/2019,0,,,,68,47
USW00094741,"TETERBORO AIRPORT, NJ US",4/26/2019,0.6,,,,61,52
USW00094741,"TETERBORO AIRPORT, NJ US",4/27/2019,0.07,,,,59,47
USW00094741,"TETERBORO AIRPORT, NJ US",4/28/2019,0.01,,,,53,44
USW00094741,"TETERBORO AIRPORT, NJ US",4/29/2019,0.03,,,,59,36
USW00094741,"TETERBORO AIRPORT, NJ US",4/30/2019,0.09,,,,61,49
USW00094741,"TETERBORO AIRPORT, NJ US",5/1/2019,0,,,,57,51
USW00094741,"TETERBORO AIRPORT, NJ US",5/2/2019,0,,,,78,50
USW00094741,"TETERBORO AIRPORT, NJ US",5/3/2019,0.02,,,,60,51
USW00094741,"TETERBORO AIRPORT, NJ US",5/4/2019,0.26,,,,74,53
USW00094741,"TETERBORO AIRPORT, NJ US",5/5/2019,1.34,,,,58,52
USW00094741,"TETERBORO AIRPORT, NJ US",5/6/2019,0,,,,76,51
USW00094741,"TETERBORO AIRPORT, NJ US",5/7/2019,0.15,,,,77,53
USW00094741,"TETERBORO AIRPORT, NJ US",5/8/2019,0,,,,74,56
USW00094741,"TETERBORO AIRPORT, NJ US",5/9/2019,0,,,,61,53
USW00094741,"TETERBORO AIRPORT, NJ US",5/10/2019,0.01,,,,80,57
USW00094741,"TETERBORO AIRPORT, NJ US",5/11/2019,0.18,,,,71,56
USW00094741,"TETERBORO AIRPORT, NJ US",5/12/2019,1.48,,,,60,43
USW00094741,"TETERBORO AIRPORT, NJ US",5/13/2019,0.71,,,,49,42
USW00094741,"TETERBORO AIRPORT, NJ US",5/14/2019,0.19,,,,53,45
USW00094741,"TETERBORO AIRPORT, NJ US",5/15/2019,0.01,,,,73,44
USW00094741,"TETERBORO AIRPORT, NJ US",5/16/2019,0.05,,,,75,53
USW00094741,"TETERBORO AIRPORT, NJ US",5/17/2019,0.14,,,,80,55
USW00094741,"TETERBORO AIRPORT, NJ US",5/18/2019,0,,,,78,52
USW00094741,"TETERBORO AIRPORT, NJ US",5/19/2019,0.08,,,,83,59
USW00094741,"TETERBORO AIRPORT, NJ US",5/20/2019,0.08,,,,88,66
USW00094741,"TETERBORO AIRPORT, NJ US",5/21/2019,0,,,,73,56
USW00094741,"TETERBORO AIRPORT, NJ US",5/22/2019,0,,,,81,49
USW00094741,"TETERBORO AIRPORT, NJ US",5/23/2019,0.66,,,,79,57
USW00094741,"TETERBORO AIRPORT, NJ US",5/24/2019,0,,,,75,60
USW00094741,"TETERBORO AIRPORT, NJ US",5/25/2019,0,,,,72,54
USW00094741,"TETERBORO AIRPORT, NJ US",5/26/2019,0.02,,,,88,63
USW00094741,"TETERBORO AIRPORT, NJ US",5/27/2019,0,,,,82,62
USW00094741,"TETERBORO AIRPORT, NJ US",5/28/2019,0,,,,71,64
USW00094741,"TETERBORO AIRPORT, NJ US",5/29/2019,0,,,,66,56
USW00094741,"TETERBORO AIRPORT, NJ US",5/30/2019,,,,,70,62
USW00094741,"TETERBORO AIRPORT, NJ US",5/31/2019,,,,,81,63
USW00094741,"TETERBORO AIRPORT, NJ US",6/1/2019,0,,,,81,61
USW00094741,"TETERBORO AIRPORT, NJ US",6/2/2019,0,,,,80,64
USW00094741,"TETERBORO AIRPORT, NJ US",6/3/2019,0,,,,69,56
USW00094741,"TETERBORO AIRPORT, NJ US",6/4/2019,0,,,,74,50
USW00094741,"TETERBORO AIRPORT, NJ US",6/5/2019,0,,,,87,64
USW00094741,"TETERBORO AIRPORT, NJ US",6/6/2019,0,,,,85,70
USW00094741,"TETERBORO AIRPORT, NJ US",6/7/2019,0,,,,83,66
USW00094741,"TETERBORO AIRPORT, NJ US",6/8/2019,0,,,,83,63
USW00094741,"TETERBORO AIRPORT, NJ US",6/9/2019,0,,,,78,58
USW00094741,"TETERBORO AIRPORT, NJ US",6/10/2019,0.38,,,,72,58
USW00094741,"TETERBORO AIRPORT, NJ US",6/11/2019,0.58,,,,79,61
USW00094741,"TETERBORO AIRPORT, NJ US",6/12/2019,0,,,,77,54
USW00094741,"TETERBORO AIRPORT, NJ US",6/13/2019,0.62,,,,67,57
USW00094741,"TETERBORO AIRPORT, NJ US",6/14/2019,0,,,,76,59
USW00094741,"TETERBORO AIRPORT, NJ US",6/15/2019,0,,,,85,54
USW00094741,"TETERBORO AIRPORT, NJ US",6/16/2019,0.03,,,,83,67
USW00094741,"TETERBORO AIRPORT, NJ US",6/17/2019,0,,,,80,68
USW00094741,"TETERBORO AIRPORT, NJ US",6/18/2019,0.79,,,,76,68
USW00094741,"TETERBORO AIRPORT, NJ US",6/19/2019,0,,,,73,67
USW00094741,"TETERBORO AIRPORT, NJ US",6/20/2019,0.24,,,,79,65
USW00094741,"TETERBORO AIRPORT, NJ US",6/21/2019,0.46,,,,81,65
USW00094741,"TETERBORO AIRPORT, NJ US",6/22/2019,0,,,,82,57
USW00094741,"TETERBORO AIRPORT, NJ US",6/23/2019,0,,,,86,59
USW00094741,"TETERBORO AIRPORT, NJ US",6/24/2019,0,,,,89,62
USW00094741,"TETERBORO AIRPORT, NJ US",6/25/2019,0.95,,,,88,72
USW00094741,"TETERBORO AIRPORT, NJ US",6/26/2019,0,,,,91,69
